tra_infr,unit,geo\time	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
RD_RUR,RT,NO	: 	: 	: 	: 	: 	: 	: 	: 	: 	3.2 	3.4 	2.5 	: 	3.0 	2.3 	1.8 	2.0 	1.6 	1.5 	1.7 	1.3 	1.2 
RD_RUR,RT,PL	8.8 b	7.7 	7.9 	7.7 	7.7 	7.6 	7.4 	7.8 	7.6 	6.2 	5.4 b	5.8 	4.9 	4.6 	4.4 	4.3 	4.5 	4.0 	4.1 e	4.4 e	3.6 ep	3.4 ep
RD_RUR,RT,PT	9.7 	8.0 	8.2 	7.2 	5.9 	5.8 	4.1 	4.3 	3.5 	3.4 	3.2 	3.0 	2.5 	2.3 	2.3 	2.2 	2.2 	2.2 	2.6 	2.2 	1.7 	1.8 bp
RD_RUR,RT,RO	2.0 	2.7 	2.9 	3.3 	3.4 	3.3 	4.3 	4.7 	5.5 	5.0 	4.3 	3.6 	3.9 	3.4 	3.3 	3.6 	3.5 	3.5 	3.4 	3.1 e	2.8 e	3.3 e
RD_RUR,RT,SE	4.6 	4.2 	4.3 	4.1 	3.5 	3.4 	3.4 	3.5 	3.0 	2.6 	1.8 	2.3 	1.9 	1.9 	1.6 	1.8 	1.7 	1.6 	2.1 	1.4 	1.3 	: 
RD_RUR,RT,SI	7.8 	8.2 	7.7 	6.8 	7.7 	7.8 	6.8 	8.0 	6.3 b	3.8 	2.9 	3.6 	3.3 	2.7 	2.6 	3.2 	3.0 	2.1 	2.5 	2.9 	2.1 	2.7 
RD_RUR,RT,SK	: 	5.9 	6.2 	6.1 	5.9 	5.7 	5.7 	6.4 	5.8 	3.7 	3.7 	: 	: 	: 	: 	: 	2.9 	2.8 	2.8 	3.1 	2.5 	2.5 
RD_RUR,RT,UK	3.3 	3.3 	3.3 	3.4 	3.1 	3.0 	2.9 	2.8 	2.3 	1.9 	1.9 	1.9 	1.7 	1.8 	1.8 	1.7 	1.8 	1.7 	1.6 	: 	: 	: 
RD_URB,NR,AT	217 	216 	265 	223 	232 	202 	200 	173 	189 	173 	141 	139 	151 	115 	123 	128 	110 	107 	102 	104 	89 	99 
RD_URB,NR,BE	403 	453 	353 	350 	295 	255 	265 	275 	274 	257 	249 	285 	233 	200 	231 	231 	194 	203 	197 	214 	180 	179 
RD_URB,NR,BG	: 	: 	: 	: 	: 	: 	: 	: 	447 	312 	312 	235 	233 	227 	251 	269 	238 	200 	213 	232 	144 	164 
