,route,time
607,"{'INN', 'EDI'}",155.0
608,"{'INN', 'FRA'}",65.0
609,"{'INN', 'LGW'}",123.33333333333333
610,"{'INN', 'MAN'}",140.0
611,"{'INN', 'VIE'}",57.5
612,"{'INV', 'LGW'}",97.5
613,"{'IOA', 'ATH'}",72.5
614,"{'IOM', 'LHR'}",95.0
615,"{'IWA', 'LED'}",105.0
616,"{'LGW', 'JER'}",60.0
617,"{'SOU', 'JER'}",50.0
618,"{'ATH', 'JMK'}",45.0
619,"{'JTR', 'ATH'}",55.0
620,"{'KAO', 'HEL'}",102.5
621,"{'KGD', 'LED'}",105.0
622,"{'VKO', 'KGD'}",115.0
623,"{'KGS', 'ATH'}",61.666666666666664
624,"{'KGS', 'RHO'}",30.0
625,"{'KGS', 'SKG'}",97.5
626,"{'KIV', 'CDG'}",195.0
627,"{'KIV', 'LIS'}",270.0
628,"{'KIV', 'OTP'}",72.5
629,"{'KJA', 'LED'}",297.5
630,"{'SVO', 'KJA'}",292.5
631,"{'KJA', 'VKO'}",286.6666666666667
632,"{'KKN', 'VDS'}",15.0
633,"{'KRK', 'AGP'}",222.5
634,"{'KRK', 'AMS'}",120.0
635,"{'KRK', 'ARN'}",120.0
636,"{'KRK', 'BCN'}",167.5
637,"{'KRK', 'BGY'}",107.5
638,"{'KRK', 'BHX'}",152.5
639,"{'KRK', 'BLQ'}",105.0
640,"{'KRK', 'BVA'}",135.0
641,"{'KRK', 'CAG'}",147.5
642,"{'KRK', 'CIA'}",120.0
643,"{'KRK', 'CRL'}",120.0
644,"{'KRK', 'EDI'}",165.0
645,"{'KRK', 'EIN'}",120.0
646,"{'KRK', 'GOT'}",107.5
647,"{'KRK', 'LGW'}",155.0
648,"{'KRK', 'LIL'}",127.5
649,"{'KRK', 'LTN'}",147.5
650,"{'KRK', 'NYO'}",110.0
651,"{'KRK', 'OSL'}",137.5
652,"{'KRK', 'PSA'}",115.0
653,"{'KRK', 'TGD'}",100.0
654,"{'KRK', 'TLS'}",160.0
655,"{'KRK', 'VIE'}",62.5
656,"{'KRK', 'VLC'}",185.0
657,"{'KRK', 'WAW'}",55.0
658,"{'KRR', 'SVO'}",140.0
659,"{'KRR', 'VKO'}",132.5
660,"{'KRS', 'AMS'}",90.0
661,"{'KRS', 'BGO'}",50.0
